2026-07-24 03:05:16.746: [INFO] VisibilityChanged: 0
2026-07-24 03:05:16.816: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.817: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.819: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.820: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.821: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.823: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.824: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.826: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.827: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.828: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:16.857: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-07-24 03:05:16.857: [INFO] OnDoneLoading sync enabled: 0
2026-07-24 03:05:16.926: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:19.940: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-24 03:05:19.944: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-07-24 03:05:19.947: [INFO] Primary account changed.
2026-07-24 03:05:19.947: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-07-24 03:05:19.951: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-07-24 03:05:19.968: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-07-24 03:06:33.057: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.058: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.059: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.060: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.060: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.061: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.061: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.061: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.062: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.062: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.063: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.064: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.065: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.065: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.066: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.067: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.067: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.068: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.069: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.070: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.070: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.071: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.072: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-24 03:06:33.072: [INFO] BookmarkNodeAdded, ABU: 0
